,property_id,locality_name,postal_code,street_name,house_number,latitude,longitude,property_type,property_subtype,price,type_of_sale,number_of_rooms,living_area,kitchen_type,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface_of_good,number_of_facades,swimming_pool,state_of_building,is_belgian
7099,11159087,herent,3020,Potestraat,6,50.9241419,4.6314146,HOUSE,EXCEPTIONAL_PROPERTY,679000.0,BUY_REGULAR,,274.0,INSTALLED,1.0,0.0,0,1.0,,,,3141.0,4.0,,TO_RENOVATE,True
7100,10985395,deurne,2100,Wouter Haecklaan,6,51.2120565,4.4598665,APARTMENT,APARTMENT,215000.0,BUY_REGULAR,,110.0,INSTALLED,1.0,,0,1.0,3.0,,,,3.0,0.0,GOOD,True
7101,11095775,gentbrugge,9050,Brusselsesteenweg,666,51.0294641,3.7646576,APARTMENT,PENTHOUSE,799000.0,BUY_REGULAR,11.0,130.0,HYPER_EQUIPPED,1.0,,0,1.0,11.0,,,,,,GOOD,True
7102,11152160,wechelderzande,2275,Visbeekbaan,17,51.2676056,4.7905406,HOUSE,HOUSE,299000.0,BUY_REGULAR,,153.0,NOT_INSTALLED,1.0,,1,1.0,,1.0,,789.0,4.0,,TO_RENOVATE,True
7103,11156215,merksem,2170,Nieuwdreef,121,51.2484629,4.4395039,APARTMENT,APARTMENT,194000.0,BUY_REGULAR,,96.0,SEMI_EQUIPPED,1.0,,1,1.0,,,,,3.0,,GOOD,True
7104,11160476,deurne,2100,Sint-Rochusstraat,221 - GLV,51.2041606,4.4639305,HOUSE,MIXED_USE_BUILDING,795000.0,BUY_REGULAR,,223.0,INSTALLED,1.0,,0,,,1.0,450.0,722.0,2.0,,JUST_RENOVATED,True
7105,11104819,koksijde,8670,Wepionstraat,2,51.1318245,2.6731528,APARTMENT,GROUND_FLOOR,195000.0,PUBLIC_SALE,,62.0,INSTALLED,1.0,,0,1.0,,,,,2.0,,,True
7106,10193135,ukkel,1180,Clos Jean-Pierre de Launoit,4,50.7839334,4.3455928,APARTMENT,GROUND_FLOOR,665000.0,BUY_REGULAR,,140.0,USA_HYPER_EQUIPPED,1.0,0.0,0,1.0,25.0,1.0,382.0,,3.0,0.0,AS_NEW,True
7107,11162883,beveren,9120,Prosper van Raemdonckstraat,10,51.2166297,4.2506856,HOUSE,HOUSE,299000.0,BUY_REGULAR,,183.0,INSTALLED,1.0,,0,1.0,28.0,,,0.0,2.0,,GOOD,True
7108,11161369,schaarbeek,1030,Max Roos,19,50.8756855,4.3777814,APARTMENT,APARTMENT,215000.0,BUY_REGULAR,,60.0,,,,1,1.0,4.0,,,,2.0,,,True
